,clause,verb,phrase,cmpl_type,cmpl_func
437715,437715,NTN[,682253,<L,DIR
459892,459892,NTN[,749697,B,-
452671,452671,NTN[,727758,B,-
467680,467680,NTN[,772643,B,-
451970,451970,NTN[,725571,B,-
451963,451963,NTN[,725553,B,-
451935,451935,NTN[,725472,B,-
451924,451924,NTN[,725437,B,-
463390,463390,NTN[,760240,B,DIR
451734,451734,NTN[,724861,B,-
451679,451679,NTN[,724683,B,-
456689,456689,NTN[,739911,B,DIR
451466,451466,NTN[,724120,B,-
451431,451431,NTN[,723995,B,-
460690,460690,NTN[,752121,B,-
451972,451972,NTN[,725580,B,DIR
452722,452722,NTN[,727913,B,-
453010,453010,NTN[,728809,B,-
453018,453018,NTN[,728830,B,-
456129,456129,NTN[,738211,B,-
465043,465043,NTN[,764931,B,-
465060,465060,NTN[,764983,B,-
465081,465081,NTN[,765048,B,-
455554,455554,NTN[,736504,B,-
457059,457059,NTN[,741046,B,-
457492,457492,NTN[,742344,B,-
467967,467967,NTN[,773543,<L,-
464616,464616,NTN[,763709,B,-
455426,455426,NTN[,736115,B,-
455414,455414,NTN[,736075,B,-
464574,464574,NTN[,763589,B,-
464553,464553,NTN[,763531,B,-
464524,464524,NTN[,763446,B,-
457656,457656,NTN[,742875,B,-
457874,457874,NTN[,743546,B,-
464245,464245,NTN[,762649,B,-
453755,453755,NTN[,731007,B,-
453362,453362,NTN[,729858,B,?
458513,458513,NTN[,745495,B,-
453199,453199,NTN[,729361,B,-
453195,453195,NTN[,729348,B,-
466617,466617,NTN[,769382,B,-
458516,458516,NTN[,745505,B,-
453045,453045,NTN[,728907,B,-
462987,462987,NTN[,759006,B,DIR
451351,451351,NTN[,723748,B,-
451492,451492,NTN[,724213,B,-
449740,449740,NTN[,718835,B,-
449789,449789,NTN[,718987,B,-
436482,436482,NTN[,678548,<L,DIR
432102,432102,NTN[,665269,<L,DIR
449521,449521,NTN[,718134,B,-
436502,436502,NTN[,678607,<L,DIR
436503,436503,NTN[,678611,<L,DIR
436504,436504,NTN[,678616,<L,DIR
436505,436505,NTN[,678619,<L,DIR
436510,436510,NTN[,678636,<L,DIR
449472,449472,NTN[,717987,B,-
449441,449441,NTN[,717901,B,-
449336,449336,NTN[,717582,B,-
461083,461083,NTN[,753205,B,-
436575,436575,NTN[,678850,<L,DIR
436584,436584,NTN[,678883,<L,DIR
436598,436598,NTN[,678934,<L,DIR
436613,436613,NTN[,678985,<L,DIR
436621,436621,NTN[,679012,<L,DIR
461392,461392,NTN[,754145,B,-
436759,436759,NTN[,679447,<L,-
437034,437034,NTN[,680215,<L,-
461996,461996,NTN[,755942,B,DIR
437300,437300,NTN[,681022,<L,DIR
462660,462660,NTN[,757969,B,-
437533,437533,NTN[,681730,<L,DIR
437707,437707,NTN[,682224,<L,DIR
437708,437708,NTN[,682228,<L,DIR
437709,437709,NTN[,682233,<L,DIR
437710,437710,NTN[,682236,<L,DIR
436378,436378,NTN[,678227,<L,DIR
436375,436375,NTN[,678213,<L,DIR
456934,456934,NTN[,740674,B,-
449840,449840,NTN[,719146,B,-
450997,450997,NTN[,722600,B,-
450982,450982,NTN[,722554,B,-
434756,434756,NTN[,673187,<L,DIR
436369,436369,NTN[,678191,<L,DIR
451271,451271,NTN[,723494,B,-
432520,432520,NTN[,666522,<L,-
450722,450722,NTN[,721720,B,-
451317,451317,NTN[,723639,B,-
432287,432287,NTN[,665851,<L,-
432280,432280,NTN[,665829,<L,DIR
451103,451103,NTN[,722935,B,-
449924,449924,NTN[,719401,B,-
449850,449850,NTN[,719179,B,-
432140,432140,NTN[,665391,<L,DIR
436207,436207,NTN[,677672,<L,DIR
436231,436231,NTN[,677751,<L,DIR
436247,436247,NTN[,677813,<L,DIR
436257,436257,NTN[,677845,<L,DIR
432278,432278,NTN[,665820,<L,-
451110,451110,NTN[,722962,B,-
455994,455994,NVC[,737798,<L,DIR
455984,455984,NVC[,737769,<L,DIR
442167,442167,NVC[,695928,<L,DIR
442147,442147,NWX[,695866,<L,-
